id,1,2,3,class
373751,469.544,469.0766127,450.392,0
373837,479.928,479.1472652,457.752,1
373897,388.815,388.1050661,371.679,1
374413,0,0,0,0
374424,0,0,0,1
374713,0,0,0,1
374940,0,0,0,1
375097,359.773,359.078517,345.661,1
375981,0,0,0,1
376479,0,0,0,0
379975,0,0,0,1
381412,323.312,323.1018393,310.208,1
382088,418.247,417.0324181,402.119,1
382922,309.325,309.1113413,294.205,1
383775,402.248,401.0375035,386.12,1
387377,0,0,0,1
392369,393.508,393.1398646,370.324,1
392695,363.482,363.1292999,342.314,1
393929,351.456,351.050004,338.352,0
394880,302.399,302.1088988,284.255,1
399530,0,0,0,0
403664,0,0,0,1
408072,319.473,319.1394707,298.305,1
412142,0,0,0,0
413779,433.852,433.1152964,413.692,1
415055,0,0,0,0
421934,0,0,0,1
422072,476.484,476.1259884,456.324,0
425183,458.643,458.3144578,416.307,1
425290,0,0,0,1
429597,377.509,377.14495,354.325,1
439679,416.275,415.0531535,398.131,1
443684,974.634,973.2955098,919.194,0
449158,905.044,904.4456507,836.5,1
450786,0,0,0,0
457133,452.558,452.2212261,424.334,1
467626,264.321,264.1361591,244.161,0
472004,459.461,459.0194918,446.357,0
472940,350.464,350.0435217,336.352,0
477772,437.529,437.163394,414.345,0
477989,0,0,0,0
481890,222.24,222.0892089,208.128,0
490372,250.294,250.1205091,232.15,0
503812,236.267,236.104859,220.139,0
506871,0,0,0,0
507361,482.196,481.9950396,468.084,1
509032,614.216,613.2601868,573.896,0
512504,360.394,360.0568632,348.298,0
521686,434.471,434.1754188,411.287,0
521851,0,0,0,0
540445,248.322,248.1412445,228.162,0
553025,0,0,0,1
558642,0,0,0,1
572881,373.46,373.1902604,350.276,0
573107,391.422,391.1819814,368.238,1
575448,0,0,0,1
577784,591.479,591.0913421,565.271,1
585951,502.554,502.2241003,475.338,1
591429,392.503,392.2212261,364.279,0
601719,450.345,449.1185439,428.169,0
608533,570.649,570.2267054,540.409,1
1076299,302.458,302.2245802,272.218,0
1077183,295.244,296.0427844,279.116,1
1079175,407.477,407.1746103,386.309,0
1084546,507.498,507.1300432,487.338,0
1086397,538.452,540.0794209,506.196,1
1090090,404.323,404.0896385,392.227,1
1091644,421.504,421.1902604,398.32,1
1171837,532.57,532.2198441,505.354,1
1190711,390.403,390.1440384,372.259,0
1213888,356.422,356.099477,339.286,1
1213889,356.422,356.099477,339.286,1
1213890,374.412,374.0900552,358.284,1
1213953,338.432,338.1088988,320.288,1
1230020,0,0,0,0
1614701,457.687,456.0000083,442.567,0
1642953,332.44,332.1987594,304.216,0
1673049,541.656,541.280138,506.376,1
1774428,304.474,304.2402303,272.218,0
1801204,465.554,465.2376045,434.306,1
1879463,469.548,469.1902604,446.364,1
1909836,658.529,657.0867526,634.337,0
1972055,679.774,679.3005987,638.446,1
1972860,400.529,400.1027679,380.369,1
2000089,588.705,588.294785,548.385,1
2022588,345.442,345.172879,322.258,1
2022591,301.433,301.1830497,278.249,1
2022994,359.469,359.188529,334.269,1
2022997,315.46,315.1986998,290.26,1
2022998,335.878,335.1440774,313.702,1
2022999,359.469,359.188529,334.269,1
2023002,315.46,315.1986998,290.26,1
2041933,362.43,362.1212751,343.278,1
2043387,377.509,377.14495,354.325,1
2043400,411.954,411.1059776,389.778,1
2043401,391.536,391.1606,366.336,1
2043408,367.945,367.1161484,345.769,1
2043409,347.527,347.1707708,322.327,1
2086806,297.263,297.0848518,282.143,1
2086807,295.247,295.0692018,282.143,1
2086808,386.313,386.0961448,368.169,0
2086809,414.367,414.1274449,392.191,0
2086810,442.421,442.158745,416.213,0
2086811,470.475,470.1900452,440.235,0
2086812,368.345,368.1008362,352.217,0
2086813,460.442,460.127051,440.282,0
2086814,460.442,460.127051,440.282,0
2086815,474.469,474.142701,452.293,0
